iter	Passed	Remaining
589	1334	4320
590	1336	4318
591	1338	4315
592	1341	4314
593	1344	4314
594	1347	4312
595	1349	4309
596	1351	4306
597	1352	4303
598	1354	4299
599	1356	4296
600	1359	4295
601	1361	4292
602	1363	4288
603	1364	4284
604	1366	4281
605	1368	4277
606	1370	4274
607	1372	4271
608	1375	4270
609	1377	4266
610	1379	4264
611	1381	4261
612	1383	4258
613	1385	4255
614	1387	4252
615	1389	4250
616	1391	4248
617	1394	4245
618	1395	4241
619	1397	4238
620	1399	4234
621	1401	4231
622	1403	4228
623	1405	4225
624	1408	4224
625	1410	4222
626	1412	4219
627	1414	4216
628	1416	4213
629	1418	4210
630	1420	4207
631	1423	4206
632	1424	4202
633	1426	4199
634	1428	4196
635	1430	4192
636	1432	4189
637	1434	4186
638	1436	4183
639	1438	4181
640	1440	4177
641	1442	4174
642	1444	4171
643	1446	4168
644	1448	4164
645	1450	4161
646	1451	4158
647	1459	4170
648	1461	4167
649	1463	4164
650	1465	4161
651	1467	4158
652	1469	4156
653	1471	4154
654	1473	4151
655	1475	4147
656	1477	4144
657	1479	4141
658	1481	4138
659	1483	4134
660	1485	4133
661	1487	4130
662	1489	4127
663	1491	4124
664	1493	4121
665	1495	4118
666	1497	4115
667	1499	4111
668	1501	4110
669	1504	4109
670	1507	4108
671	1509	4105
672	1511	4102
673	1513	4099
674	1515	4096
675	1517	4093
676	1519	4091
677	1521	4088
678	1523	4085
679	1524	4081
680	1526	4078
681	1528	4074
682	1530	4071
683	1532	4068
684	1535	4067
685	1537	4064
686	1538	4061
687	1540	4058
688	1542	4054
689	1544	4051
690	1546	4048
691	1548	4045
692	1551	4044
693	1553	4043
694	1555	4040
695	1557	4037
696	1559	4034
697	1561	4031
698	1563	4028
699	1565	4025
700	1567	4023
701	1569	4020
702	1571	4017
703	1573	4014
704	1575	4011
705	1577	4007
706	1579	4004
707	1581	4002
708	1584	4001
709	1586	3999
710	1588	3995
711	1590	3992
712	1591	3989
713	1593	3986
714	1595	3983
715	1614	4023
716	1621	4031
717	1627	4038
718	1632	4043
719	1636	4046
720	1640	4048
721	1644	4050
722	1649	4053
723	1652	4054
724	1655	4054
725	1658	4053
726	1662	4053
727	1664	4052
728	1667	4050
729	1669	4047
730	1671	4045
731	1673	4042
732	1675	4039
733	1678	4037
734	1680	4034
735	1681	4031
736	1683	4028
737	1685	4024
738	1687	4021
739	1689	4018
740	1691	4014
741	1693	4013
742	1696	4011
743	1698	4008
744	1700	4005
745	1702	4001
746	1703	3998
747	1705	3995
748	1709	3995
749	1712	3996
750	1716	3996
751	1718	3993
752	1719	3990
753	1721	3986
754	1723	3983
755	1726	3982
756	1728	3980
757	1730	3977
758	1732	3974
759	1734	3970
760	1736	3967
761	1738	3964
762	1740	3961
763	1742	3959
764	1744	3956
765	1746	3953
766	1748	3951
767	1750	3947
768	1752	3945
769	1754	3942
770	1757	3940
771	1759	3937
772	1760	3934
773	1762	3930
774	1764	3927
775	1766	3924
776	1768	3921
777	1770	3918
778	1772	3915
779	1774	3912
780	1776	3909
781	1778	3906
782	1779	3902
783	1781	3899
784	1783	3896
785	1785	3893
786	1787	3890
787	1790	3890
788	1793	3888
789	1795	3885
790	1797	3883
791	1799	3880
792	1801	3878
793	1803	3875
794	1806	3873
795	1808	3870
796	1810	3868
797	1812	3866
798	1814	3863
799	1816	3860
800	1818	3858
801	1821	3856
802	1824	3854
803	1826	3853
804	1829	3851
805	1831	3848
806	1833	3845
807	1835	3843
808	1838	3842
809	1840	3839
810	1842	3837
811	1845	3836
812	1847	3833
813	1849	3831
814	1851	3828
815	1854	3827
816	1856	3824
817	1859	3822
818	1861	3820
819	1863	3817
820	1865	3815
821	1867	3812
822	1870	3811
823	1873	3809
824	1875	3807
825	1877	3804
826	1879	3802
827	1881	3799
828	1883	3796
829	1886	3795
830	1889	3795
831	1891	3792
832	1893	3789
833	1895	3786
834	1897	3783
835	1899	3781
836	1902	3779
837	1904	3776
838	1905	3773
839	1907	3770
840	1909	3767
841	1911	3764
842	1913	3761
843	1915	3758
844	1918	3757
845	1920	3755
846	1922	3752
847	1924	3749
848	1926	3746
849	1928	3743
850	1930	3740
851	1933	3739
852	1935	3737
853	1937	3734
854	1939	3731
855	1941	3728
856	1943	3726
857	1945	3723
858	1948	3721
859	1950	3719
860	1952	3716
861	1954	3713
862	1956	3710
863	1958	3707
864	1960	3704
865	1961	3701
866	1964	3699
867	1966	3696
868	1968	3693
869	1969	3690
870	1971	3687
871	1973	3684
872	1975	3682
873	1977	3679
874	1980	3677
875	1982	3675
876	1984	3672
877	1986	3669
878	1988	3666
879	1990	3663
880	1991	3660
881	1993	3657
882	1996	3655
883	1998	3652
884	1999	3649
885	2001	3646
886	2003	3643
887	2005	3640
888	2007	3637
889	2009	3634
890	2011	3632
891	2013	3630
892	2015	3627
893	2017	3624
894	2019	3621
895	2021	3618
896	2023	3615
897	2025	3612
898	2027	3610
899	2029	3608
900	2031	3605
901	2034	3604
902	2036	3601
903	2038	3598
904	2040	3596
905	2042	3593
906	2044	3591
907	2047	3589
908	2049	3586
909	2050	3583
910	2052	3580
911	2054	3577
912	2056	3574
913	2058	3571
914	2060	3570
915	2062	3567
916	2064	3564
917	2066	3561
918	2068	3558
919	2070	3555
920	2072	3552
921	2074	3549
922	2076	3547
923	2078	3545
924	2080	3542
925	2082	3539
926	2083	3536
927	2085	3533
928	2087	3530
929	2089	3527
930	2092	3526
931	2094	3523
932	2096	3520
933	2098	3517
934	2099	3514
935	2101	3511
936	2103	3509
937	2105	3506
938	2107	3504
939	2109	3501
940	2111	3499
941	2113	3496
942	2115	3493
943	2117	3490
944	2119	3487
945	2121	3484
946	2123	3482
947	2125	3479
948	2127	3477
949	2129	3474
950	2131	3471
951	2133	3468
952	2135	3465
953	2136	3463
954	2139	3460
955	2141	3458
956	2143	3456
957	2146	3454
958	2147	3451
959	2150	3449
960	2152	3446
961	2153	3443
962	2156	3441
963	2158	3438
964	2160	3436
965	2162	3433
966	2164	3430
967	2166	3428
968	2168	3425
969	2170	3423
970	2172	3421
971	2174	3419
972	2176	3416
973	2178	3413
974	2181	3411
975	2183	3409
976	2186	3407
977	2188	3406
978	2191	3404
979	2193	3402
980	2195	3400
981	2198	3398
982	2201	3397
983	2204	3396
984	2207	3394
985	2209	3392
986	2212	3391
987	2214	3389
988	2217	3388
989	2220	3386
990	2223	3385
991	2225	3383
992	2228	3381
993	2231	3380
994	2233	3378
995	2237	3378
996	2240	3376
997	2243	3375
998	2246	3375
999	2248	3373
1000	2251	3371
1001	2253	3369
1002	2256	3367
